path,sentence
converted_4rqv6rrro_frase_10_2018-08-29_60_Salvador_Bahia_Feminino_Mestrado.wav,"Esse canal tem bastante pornografia e a abertura do campeonato ocorreu antes de ontem, quando os turistas japoneses procuravam belas casas para alugar."
converted_4rqv6rrro_frase_11_2018-08-29_60_Salvador_Bahia_Feminino_Mestrado.wav,"O biscoito era de chocolate com morango, por isso escolhi o bombom de chocolate ao leite com licor de amarula. Ainda precisamos comprar pó de café, pão francês, abóbora e melão."
converted_4rqv6rrro_frase_12_2018-08-29_60_Salvador_Bahia_Feminino_Mestrado.wav,"Segurei a panela de macarrão com apenas uma mão e as duas pilhas que eu lhe dei caíram no chão. A rã está embaixo do fogão, deve ser retirada logo, pois tenho medo de répteis e de minhocas."
converted_4rqv6rrro_frase_14_2018-08-29_60_Salvador_Bahia_Feminino_Mestrado.wav,Ele ficou chateado porque foi chamado de burro pelo escrivão zangado enquanto lavava sua blusa azul de lã com água e sabão.
converted_4rqv6rrro_frase_15_2018-08-29_60_Salvador_Bahia_Feminino_Mestrado.wav,Li que o escrivão mora sozinho perto da plantação de feijão e sorte que o jacaré que fugiu do zoológico já foi encontrado.
converted_4rqv6rrro_frase_1_2018-08-29_60_Salvador_Bahia_Feminino_Mestrado.wav,"Eu rasguei todo meu dinheiro em vão, minha família depende da aposentadoria do meu avô. Mas o dia amanheceu ensolarado e eu fiquei feliz porque minha tia viajou para Porto Alegre às sete horas."
converted_4rqv6rrro_frase_2_2018-08-29_60_Salvador_Bahia_Feminino_Mestrado.wav,"O telejornal da Globo terminou agora a pouco, todos se levantaram, a porta bateu forte e meu tio xingou bastante. Mas disse que é um grande prazer ter os sobrinhos hospedados em casa e não em um dos hotéis do sudoeste."
converted_4rqv6rrro_frase_3_2018-08-29_60_Salvador_Bahia_Feminino_Mestrado.wav,"Para ganhar, preciso decifrar o código até amanhã. Os papéis foram rasgados mas ainda é possível ler informações importantes."
converted_4rqv6rrro_frase_4_2018-08-29_60_Salvador_Bahia_Feminino_Mestrado.wav,Suas atitudes são muito drásticas e resultarão em guerra entre vocês. Ela chegou a pedir o divórcio antes dele morrer e pensou que podia compartilhar esse documento com você.
converted_4rqv6rrro_frase_5_2018-08-29_60_Salvador_Bahia_Feminino_Mestrado.wav,"Meu orientador disse que o professor de Português e a professora de Matemática se casaram e foram morar na Nigéria, onde o clima está muito diferente de dez anos atrás."
converted_4rqv6rrro_frase_6_2018-08-29_60_Salvador_Bahia_Feminino_Mestrado.wav,"Você tem razão, a correção da prova não foi justa e a turma tirou notas abaixo da média. Assim como a gestão do atual prefeito, a diretoria não está agradando o povo."
